,Nominees,Awards,Year,is_winner
0,The Americans,Drama Series,2018,False
1,The Crown,Drama Series,2018,False
2,Game of Thrones,Drama Series,2018,True
3,The Handmaid’s Tale,Drama Series,2018,False
4,Stranger Things,Drama Series,2018,False
5,This Is Us,Drama Series,2018,False
6,Westworld,Drama Series,2018,False
7,Atlanta,Comedy Series,2018,False
8,Barry,Comedy Series,2018,False
9,Black-ish,Comedy Series,2018,False
10,Curb Your Enthusiasm,Comedy Series,2018,False
11,GLOW,Comedy Series,2018,False
12,The Marvelous Mrs. Maisel,Comedy Series,2018,True
13,Silicon Valley,Comedy Series,2018,False
14,Unbreakable Kimmy Schmidt,Comedy Series,2018,False
15,The Alienist,Limited Series,2018,False
16,The Assassination of Gianni Versace: American Crime Story,Limited Series,2018,True
17,Genius: Picasso,Limited Series,2018,False
18,Godless,Limited Series,2018,False
19,Patrick Melrose,Limited Series,2018,False
20,The Daily Show with Trevor Noah,Variety Talk Series,2018,False
21,Full Frontal with Samantha Bee,Variety Talk Series,2018,False
22,Jimmy Kimmel Live!,Variety Talk Series,2018,False
23,Last Week Tonight with John Oliver,Variety Talk Series,2018,True
24,The Late Late Show with James Corden,Variety Talk Series,2018,False
25,The Late Show with Stephen Colbert,Variety Talk Series,2018,False
26,At Home with Amy Sedaris,Variety Sketch,2018,False
27,Drunk History,Variety Sketch,2018,False
28,"I Love You, America",Variety Sketch,2018,False
29,Portlandia,Variety Sketch,2018,False
30,Saturday Night Live,Variety Sketch,2018,True
31,Tracey Ullman’s Show,Variety Sketch,2018,False
32,The Amazing Race,Reality Competition Series,2018,False
33,American Ninja Warrior,Reality Competition Series,2018,False
34,Project Runway,Reality Competition Series,2018,False
35,RuPaul’s Drag Race,Reality Competition Series,2018,True
36,Top Chef,Reality Competition Series,2018,False
37,The Voice,Reality Competition Series,2018,False
38,The Crown,"Lead Actress, Drama",2018,True
39,Orphan Black,"Lead Actress, Drama",2018,False
40,The Handmaid’s Tale,"Lead Actress, Drama",2018,False
41,Killing Eve,"Lead Actress, Drama",2018,False
42,The Americans,"Lead Actress, Drama",2018,False
43,Westworld,"Lead Actress, Drama",2018,False
44,Ozark,"Lead Actor, Drama",2018,False
45,This Is Us,"Lead Actor, Drama",2018,False
46,Westworld,"Lead Actor, Drama",2018,False
47,The Americans,"Lead Actor, Drama",2018,True
48,This Is Us,"Lead Actor, Drama",2018,False
49,Westworld,"Lead Actor, Drama",2018,False
50,Game of Thrones,Directing for a Drama,2018,False
51,Game of Thrones,Directing for a Drama,2018,False
52,Ozark,Directing for a Drama,2018,False
53,Ozark,Directing for a Drama,2018,False
54,Stranger Things,Directing for a Drama,2018,False
55,The Crown,Directing for a Drama,2018,True
56,The Handmaid’s Tale,Directing for a Drama,2018,False
57,Game of Thrones,Writing for a Drama Series,2018,False
58,Killing Eve,Writing for a Drama Series,2018,False
59,Stranger Things,Writing for a Drama Series,2018,False
60,The Americans,Writing for a Drama Series,2018,True
61,The Crown,Writing for a Drama Series,2018,False
62,The Handmaid’s Tale,Writing for a Drama Series,2018,False
63,The Handmaid’s Tale,"Supporting Actress, Drama",2018,False
64,Stranger Things,"Supporting Actress, Drama",2018,False
65,The Handmaid’s Tale,"Supporting Actress, Drama",2018,False
66,Game of Thrones,"Supporting Actress, Drama",2018,False
67,The Crown,"Supporting Actress, Drama",2018,False
68,Westworld,"Supporting Actress, Drama",2018,True
69,The Handmaid’s Tale,"Supporting Actress, Drama",2018,False
