index,title,channel,no,imdb,rotten_tomatoes
0,game of thrones,HBO,30,9.3,8.9
1,veep,HBO,24,8.3,9.3
2,the marvelous mrs maisel,Amazon Studios,21,8.7,8.8
3,saturday night live,NBC,20,8.1,
4,handmaid's tale,Hulu,20,8.4,8.8
5,better call saul,Netflix,17,8.7,9.7
6,ozark,Netflix,17,8.4,8.1
7,the crown,Netflix,17,8.7,8.9
8,barry,HBO,15,8.3,9.9
9,fargo,FX,14,8.9,9.6
10,westworld,HBO,14,8.6,8.7
11,this is us,ABC,14,8.7,9.2
12,the people v. o.j. simpson: american crime story,FX,13,8.4,9.3
13,succession,HBO,13,8.6,9.2
14,atlanta,FX,13,8.6,9.7
15,silicon valley,HBO,12,8.5,9.4
16,black-ish,ABC,12,7.1,9.1
17,killing eve,BBC,12,8.3,9
18,schitt’s creek,Pop TV,11,8.5,9.3
19,stranger things,Netflix,11,8.8,9.3
20,when they see us,Netflix,11,8.9,9.6
21,watchmen,HBO,11,8.1,9.6
22,the americans,FX,11,8.4,9.6
23,house of cards,Netflix,10,8.7,7.8
24,feud: bette and joan,FX,10,8.5,9.1
25,big little lies,HBO,10,8.5,8.9
26,the good place,NBC,9,8.2,9.7
27,unbreakable kimmy schmidt,Netflix,9,7.6,9.6
28,the assassination of gianni versace: american ...,FX,9,8.4,8.9
29,transparent,Amazon Studios,8,7.8,9
30,the night of,HBO,8,8.5,9.4
31,master of none,Netflix,7,8.3,10
32,fosse/verdon,FX,7,7.9,8.1
33,homeland,Showtime,7,8.3,8.5
34,last week tonight with john oliver,HBO,7,8.9,9.8
35,escape at dannemora,Showtime,7,8,8.9
36,chernobyl,HBO,6,9.4,9.6
37,godless,Netflix,6,8.3,8.5
38,full frontal with samantha bee,TBS,6,5.7,1
39,the night manager,AMC,6,8.1,9.1
40,american crime,ABC,6,7.8,9.7
41,black mirror,Netflix,6,8.8,8.3
42,the late show with stephen colbert,CBS,6,7.2,
43,mrs. america,FX,6,7.5,9.6
44,fleabag,Fleabag,6,8.7,10
45,jimmy kimmel live!,ABC,6,6.6,
46,the morning show,Apple TV,5,8.4,6.1
47,drunk history,Comedy Central,5,7.8,5.9
48,glow,Netflix,5,8,9.3
49,top chef,Bravo,5,7.5,
50,the kominsky method,Netflix,5,8.2,9
51,the voice,NBC,5,6.5,
52,modern family,ABC,5,8.4,8.6
53,hollywood,Netflix,4,7.7,5.7
54,the amazing race,CBS,4,7.6,7.2
55,baskets,FX,4,7.5,9.2
56,sherlock,PBS,4,9.1,7.8
57,jesus christ superstar live in concert,NBC,4,7.7,1
58,american horror story,FX,4,8,7.6
59,all the way,HBO,4,7.3,8.7
60,a very english scandal,Amazon Studios,4,7.7,9.5
61,american ninja warrior,NBC,4,6.8,
62,dead to me,CBS,4,8.1,9.1
