Index,Title,Awards,Year,is_winner
0,The Americans,Drama Series,2016,FALSE
1,Better Call Saul,Drama Series,2016,FALSE
2,Downton Abbey,Drama Series,2016,FALSE
3,Game of Thrones,Drama Series,2016,TRUE
4,Homeland,Drama Series,2016,FALSE
5,House of Cards,Drama Series,2016,FALSE
6,Mr. Robot,Drama Series,2016,FALSE
7,Black-ish,Comedy Series,2016,FALSE
8,Master of None,Comedy Series,2016,FALSE
9,Modern Family,Comedy Series,2016,FALSE
10,Silicon Valley,Comedy Series,2016,FALSE
11,Transparent,Comedy Series,2016,FALSE
12,Unbreakable Kimmy Schmidt,Comedy Series,2016,FALSE
13,Veep,Comedy Series,2016,TRUE
14,Homeland,"Lead Actress, Drama",2016,FALSE
15,How to Get Away with Murder,"Lead Actress, Drama",2016,FALSE
16,Empire,"Lead Actress, Drama",2016,FALSE
17,Orphan Black,"Lead Actress, Drama",2016,FALSE
18,The Americans,"Lead Actress, Drama",2016,FALSE
19,House of Cards,"Lead Actress, Drama",2016,FALSE
20,Bloodline,"Lead Actor, Drama",2016,FALSE
21,Mr. Robot,"Lead Actor, Drama",2016,FALSE
22,Better Call Saul,"Lead Actor, Drama",2016,FALSE
23,The Americans,"Lead Actor, Drama",2016,FALSE
24,Ray Donovan,"Lead Actor, Drama",2016,FALSE
25,House of Cards,"Lead Actor, Drama",2016,FALSE
26,Better Call Saul,"Supporting Actor, Drama",2016,FALSE
27,Game of Thrones,"Supporting Actor, Drama",2016,FALSE
28,House of Cards,"Supporting Actor, Drama",2016,FALSE
29,Bloodline,"Supporting Actor, Drama",2016,FALSE
30,Game of Thrones,"Supporting Actor, Drama",2016,FALSE
31,Ray Donovan,"Supporting Actor, Drama",2016,FALSE
32,Downton Abbey,Directing for a Drama,2016,FALSE
33,Game of Thrones,Directing for a Drama,2016,FALSE
34,Game of Thrones,Directing for a Drama,2016,FALSE
35,Homeland,Directing for a Drama,2016,FALSE
36,The Knick,Directing for a Drama,2016,FALSE
37,Ray Donovan,Directing for a Drama,2016,FALSE
38,Game of Thrones,"Supporting Actress, Drama",2016,FALSE
39,Game of Thrones,"Supporting Actress, Drama",2016,FALSE
40,Downton Abbey,"Supporting Actress, Drama",2016,FALSE
41,The Affair,"Supporting Actress, Drama",2016,FALSE
42,Game of Thrones,"Supporting Actress, Drama",2016,FALSE
43,UnReal,"Supporting Actress, Drama",2016,FALSE
44,The Americans,Writing for a Drama Series,2016,FALSE
45,Downton Abbey,Writing for a Drama Series,2016,FALSE
46,Game of Thrones,Writing for a Drama Series,2016,FALSE
47,The Good Wife,Writing for a Drama Series,2016,FALSE
48,Mr. Robot,Writing for a Drama Series,2016,FALSE
49,UnReal,Writing for a Drama Series,2016,FALSE
50,Documentary Now,Variety Sketch Series,2016,FALSE
51,Drunk History,Variety Sketch Series,2016,FALSE
52,Inside Amy Schumer,Variety Sketch Series,2016,FALSE
53,Key & Peele,Variety Sketch Series,2016,TRUE
54,Portlandia,Variety Sketch Series,2016,FALSE
55,Saturday Night Live,Variety Sketch Series,2016,FALSE
56,58th Grammy Awards,Directing for a Variety Special,2016,FALSE
57,Lemonade,Directing for a Variety Special,2016,FALSE
58,Grease: Live!,Directing for a Variety Special,2016,TRUE
59,Adele Live in New York City,Directing for a Variety Special,2016,FALSE
60,Amy Schumer: Live at the Apollo,Directing for a Variety Special,2016,FALSE
61,The Kennedy Center Honors,Directing for a Variety Special,2016,FALSE
62,Comedians in Cars Getting Coffee,Variety Talk Series,2016,FALSE
63,The Late Late Show with James Corden,Variety Talk Series,2016,FALSE
64,Jimmy Kimmel Live!,Variety Talk Series,2016,FALSE
65,Last Week Tonight with John Oliver,Variety Talk Series,2016,TRUE
66,Real Time with Bill Maher,Variety Talk Series,2016,FALSE
67,The Tonight Show Starring Jimmy Fallon,Variety Talk Series,2016,FALSE
68,Amy Schumer: Live at the Apollo,Writing for a Variety Special,2016,FALSE
69,John Mulaney: The Comeback Kid,Writing for a Variety Special,2016,FALSE
70,Patton Oswalt: Talking for Clapping,Writing for a Variety Special,2016,TRUE
71,Tig Notaro: Boyish Girl Interrupted,Writing for a Variety Special,2016,FALSE
72,Triumph’s Election Special 2016,Writing for a Variety Special,2016,FALSE
73,American Crime,Limited Series,2016,FALSE
74,Fargo,Limited Series,2016,FALSE
75,The Night Manager,Limited Series,2016,FALSE
76,The People v. O.J. Simpson: American Crime Story,Limited Series,2016,TRUE
77,Roots,Limited Series,2016,FALSE
78,A Very Murray Christmas,TV Movie,2016,FALSE
79,All the Way,TV Movie,2016,FALSE
80,Confirmation,TV Movie,2016,FALSE
81,Luther,TV Movie,2016,FALSE
82,Sherlock,"Lead Actor, TV Movie/Limited Series",2016,FALSE
83,All the Way,"Lead Actor, TV Movie/Limited Series",2016,FALSE
84,Sherlock,"Lead Actor, TV Movie/Limited Series",2016,FALSE
85,Luther,"Lead Actor, TV Movie/Limited Series",2016,FALSE
86,The People v. O.J. Simpson: American Crime Story,"Lead Actor, TV Movie/Limited Series",2016,FALSE
87,The Night Manager,"Lead Actor, TV Movie/Limited Series",2016,FALSE
88,The People v. O.J. Simpson: American Crime Story,"Lead Actor, TV Movie/Limited Series",2016,FALSE
89,Fargo,"Lead Actress, TV Movie/Limited Series",2016,FALSE
90,American Crime,"Lead Actress, TV Movie/Limited Series",2016,FALSE
91,Lady Day at Emerson’s Bar and Grill,"Lead Actress, TV Movie/Limited Series",2016,FALSE
92,American Crime,"Lead Actress, TV Movie/Limited Series",2016,FALSE
93,The People v. O.J. Simpson: American Crime Story,"Lead Actress, TV Movie/Limited Series",2016,FALSE
94,Confirmation,"Lead Actress, TV Movie/Limited Series",2016,FALSE
95,The People v. O.J. Simpson: American Crime Story,"Supporting Actor, TV Movie/Limited Series",2016,FALSE
96,The Night Manager,"Supporting Actor, TV Movie/Limited Series",2016,FALSE
97,Fargo,"Supporting Actor, TV Movie/Limited Series",2016,FALSE
98,The People v. O.J. Simpson: American Crime Story,"Supporting Actor, TV Movie/Limited Series",2016,FALSE
99,The People v. O.J. Simpson: American Crime Story,"Supporting Actor, TV Movie/Limited Series",2016,FALSE
100,Fargo,"Supporting Actor, TV Movie/Limited Series",2016,FALSE
101,All the Way,Directing for a TV Movie/Limited Series,2016,FALSE
102,Fargo,Directing for a TV Movie/Limited Series,2016,FALSE
103,The Night Manager,Directing for a TV Movie/Limited Series,2016,FALSE
104,The People v. O.J. Simpson: American Crime Story,Directing for a TV Movie/Limited Series,2016,FALSE
105,The People v. O.J. Simpson: American Crime Story,Directing for a TV Movie/Limited Series,2016,FALSE
106,The People v. O.J. Simpson: American Crime Story,Directing for a TV Movie/Limited Series,2016,FALSE
107,American Horror Story,"Supporting Actress, TV Movie/Limited Series",2016,FALSE
108,The Night Manager,"Supporting Actress, TV Movie/Limited Series",2016,FALSE
109,American Crime,"Supporting Actress, TV Movie/Limited Series",2016,FALSE
110,All the Way,"Supporting Actress, TV Movie/Limited Series",2016,FALSE
111,American Horror Story,"Supporting Actress, TV Movie/Limited Series",2016,FALSE
112,Fargo,"Supporting Actress, TV Movie/Limited Series",2016,FALSE
113,Fargo,Writing for a TV Movie/Limited Series,2016,FALSE
114,Fargo,Writing for a TV Movie/Limited Series,2016,FALSE
115,The Night Manager,Writing for a TV Movie/Limited Series,2016,FALSE
116,The People v. O.J. Simpson: American Crime Story,Writing for a TV Movie/Limited Series,2016,FALSE
117,The People v. O.J. Simpson: American Crime Story,Writing for a TV Movie/Limited Series,2016,FALSE
118,The People v. O.J. Simpson: American Crime Story,Writing for a TV Movie/Limited Series,2016,FALSE
119,The Amazing Race,Reality Competition Series,2016,FALSE
120,American Ninja Warrior,Reality Competition Series,2016,FALSE
121,Dancing with the Stars,Reality Competition Series,2016,FALSE
122,Project Runway,Reality Competition Series,2016,FALSE
123,Top Chef,Reality Competition Series,2016,FALSE
124,The Voice,Reality Competition Series,2016,TRUE
125,Black-ish,"Lead Actor, Comedy",2016,FALSE
126,Master of None,"Lead Actor, Comedy",2016,FALSE
127,The Last Man on Earth,"Lead Actor, Comedy",2016,FALSE
128,Shameless,"Lead Actor, Comedy",2016,FALSE
129,Silicon Valley,"Lead Actor, Comedy",2016,FALSE
130,Transparent,"Lead Actor, Comedy",2016,FALSE
131,Unbreakable Kimmy Schmidt,"Lead Actress, Comedy",2016,FALSE
132,Veep,"Lead Actress, Comedy",2016,FALSE
133,Getting On,"Lead Actress, Comedy",2016,FALSE
134,Black-ish,"Lead Actress, Comedy",2016,FALSE
135,Inside Amy Schumer,"Lead Actress, Comedy",2016,FALSE
136,Grace and Frankie,"Lead Actress, Comedy",2016,FALSE
137,Master of None,Directing for a Comedy Series,2016,FALSE
138,Silicon Valley,Directing for a Comedy Series,2016,FALSE
139,Silicon Valley,Directing for a Comedy Series,2016,FALSE
140,Transparent,Directing for a Comedy Series,2016,FALSE
141,Veep,Directing for a Comedy Series,2016,FALSE
142,Veep,Directing for a Comedy Series,2016,FALSE
143,Veep,Directing for a Comedy Series,2016,FALSE
144,Veep,"Supporting Actress, Comedy",2016,FALSE
145,Transparent,"Supporting Actress, Comedy",2016,FALSE
146,Mom,"Supporting Actress, Comedy",2016,FALSE
147,Transparent,"Supporting Actress, Comedy",2016,FALSE
148,Saturday Night Live,"Supporting Actress, Comedy",2016,FALSE
149,Getting On,"Supporting Actress, Comedy",2016,FALSE
150,Catastrophe,Writing for a Comedy Series,2016,FALSE
151,Master of None,Writing for a Comedy Series,2016,FALSE
152,Silicon Valley,Writing for a Comedy Series,2016,FALSE
153,Silicon Valley,Writing for a Comedy Series,2016,FALSE
154,Veep,Writing for a Comedy Series,2016,FALSE
155,Veep,Writing for a Comedy Series,2016,FALSE
156,Baskets,"Supporting Actor, Comedy",2016,FALSE
157,Brooklyn Nine-Nine,"Supporting Actor, Comedy",2016,FALSE
158,Unbreakable Kimmy Schmidt,"Supporting Actor, Comedy",2016,FALSE
159,Modern Family,"Supporting Actor, Comedy",2016,FALSE
160,Veep,"Supporting Actor, Comedy",2016,FALSE
161,Key & Peele,"Supporting Actor, Comedy",2016,FALSE
162,Veep,"Supporting Actor, Comedy",2016,FALSE
163,Better Call Saul,Drama Series,2017,FALSE
164,The Crown,Drama Series,2017,FALSE
165,The Handmaid’s Tale,Drama Series,2017,TRUE
166,House of Cards,Drama Series,2017,FALSE
167,Stranger Things,Drama Series,2017,FALSE
168,This Is Us,Drama Series,2017,FALSE
169,Westworld,Drama Series,2017,FALSE
170,How to Get Away with Murder,"Lead Actress, Drama",2017,FALSE
171,The Crown,"Lead Actress, Drama",2017,FALSE
172,The Handmaid’s Tale,"Lead Actress, Drama",2017,TRUE
173,The Americans,"Lead Actress, Drama",2017,FALSE
174,Westworld,"Lead Actress, Drama",2017,FALSE
175,House of Cards,"Lead Actress, Drama",2017,FALSE
176,This Is Us,"Lead Actor, Drama",2017,TRUE
177,Westworld,"Lead Actor, Drama",2017,FALSE
178,Better Call Saul,"Lead Actor, Drama",2017,FALSE
179,The Americans,"Lead Actor, Drama",2017,FALSE
180,Ray Donovan,"Lead Actor, Drama",2017,FALSE
181,House of Cards,"Lead Actor, Drama",2017,FALSE
182,This Is Us,"Lead Actor, Drama",2017,FALSE
183,Big Little Lies,Limited Series,2017,FALSE
184,Fargo,Limited Series,2017,FALSE
