index,title,awards,year,is_winner,channel
0,the americans,Drama Series,2016,FALSE,FX
1,better call saul,Drama Series,2016,FALSE,Netflix
2,downton abbey,Drama Series,2016,FALSE,PBS
3,game of thrones,Drama Series,2016,TRUE,HBO
4,homeland,Drama Series,2016,FALSE,Showtime
5,house of cards,Drama Series,2016,FALSE,Netflix
6,mr. robot,Drama Series,2016,FALSE,USA
7,black-ish,Comedy Series,2016,FALSE,ABC
8,master of none,Comedy Series,2016,FALSE,Netflix
9,modern family,Comedy Series,2016,FALSE,ABC
10,silicon valley,Comedy Series,2016,FALSE,HBO
11,transparent,Comedy Series,2016,FALSE,Amazon Studios
12,unbreakable kimmy schmidt,Comedy Series,2016,FALSE,Netflix
13,veep,Comedy Series,2016,TRUE,HBO
14,homeland,"Lead Actress, Drama",2016,FALSE,Showtime
15,how to get away with murder,"Lead Actress, Drama",2016,FALSE,ABC
16,empire,"Lead Actress, Drama",2016,FALSE,Fox
17,orphan black,"Lead Actress, Drama",2016,FALSE,BBC
18,the americans,"Lead Actress, Drama",2016,FALSE,FX
19,house of cards,"Lead Actress, Drama",2016,FALSE,Netflix
20,bloodline,"Lead Actor, Drama",2016,FALSE,Netflix
21,mr. robot,"Lead Actor, Drama",2016,FALSE,USA
22,better call saul,"Lead Actor, Drama",2016,FALSE,Netflix
23,the americans,"Lead Actor, Drama",2016,FALSE,FX
24,ray donovan,"Lead Actor, Drama",2016,FALSE,Showtime
25,house of cards,"Lead Actor, Drama",2016,FALSE,Netflix
26,better call saul,"Supporting Actor, Drama",2016,FALSE,Netflix
27,game of thrones,"Supporting Actor, Drama",2016,FALSE,HBO
28,house of cards,"Supporting Actor, Drama",2016,FALSE,Netflix
29,bloodline,"Supporting Actor, Drama",2016,FALSE,Netflix
30,game of thrones,"Supporting Actor, Drama",2016,FALSE,HBO
31,ray donovan,"Supporting Actor, Drama",2016,FALSE,Showtime
32,downton abbey,Directing for a Drama,2016,FALSE,PBS
33,game of thrones,Directing for a Drama,2016,FALSE,HBO
34,game of thrones,Directing for a Drama,2016,FALSE,HBO
35,homeland,Directing for a Drama,2016,FALSE,Showtime
36,the knick,Directing for a Drama,2016,FALSE,Cinemax
37,ray donovan,Directing for a Drama,2016,FALSE,Showtime
38,game of thrones,"Supporting Actress, Drama",2016,FALSE,HBO
39,game of thrones,"Supporting Actress, Drama",2016,FALSE,HBO
40,downton abbey,"Supporting Actress, Drama",2016,FALSE,PBS
41,the affair,"Supporting Actress, Drama",2016,FALSE,Showtime
42,game of thrones,"Supporting Actress, Drama",2016,FALSE,HBO
43,unreal,"Supporting Actress, Drama",2016,FALSE,Lifetime
44,the americans,Writing for a Drama Series,2016,FALSE,FX
45,downton abbey,Writing for a Drama Series,2016,FALSE,PBS
46,game of thrones,Writing for a Drama Series,2016,FALSE,HBO
