id,show_title,show_year,imdb_rating,reel_rating,prime,netflix,disney,hulu
1,stranger things,2016,8.7,96,FALSE,TRUE,FALSE,FALSE
2,dark,2017,8.8,93,FALSE,TRUE,FALSE,FALSE
3,the queen's gambit,2020,8.6,93,FALSE,TRUE,FALSE,FALSE
4,mindhunter,2017,8.6,91,TRUE,TRUE,FALSE,FALSE
5,the crown,2016,8.7,91,FALSE,TRUE,FALSE,FALSE
6,money heist,2017,8.3,90,TRUE,TRUE,FALSE,FALSE
7,ozark,2017,8.4,90,FALSE,TRUE,FALSE,FALSE
8,sex education,2019,8.3,90,TRUE,TRUE,FALSE,FALSE
9,cobra kai,2018,8.6,89,TRUE,TRUE,FALSE,FALSE
10,the witcher,2019,8.2,89,FALSE,TRUE,FALSE,FALSE
11,the good place,2016,8.2,88,FALSE,TRUE,FALSE,FALSE
12,the umbrella academy,2019,8.0,87,FALSE,TRUE,FALSE,FALSE
13,lucifer,2016,8.1,87,FALSE,TRUE,FALSE,FALSE
14,the sinner,2017,7.9,87,FALSE,TRUE,FALSE,FALSE
15,the last dance,2020,9.1,87,TRUE,TRUE,FALSE,FALSE
16,when they see us,2019,8.9,87,FALSE,TRUE,FALSE,FALSE
17,the end of the f***ing world,2017,8.1,86,FALSE,TRUE,FALSE,FALSE
18,american crime story,2016,8.4,86,FALSE,TRUE,FALSE,FALSE
19,demon slayer: kimetsu no yaiba,2019,8.7,86,FALSE,TRUE,FALSE,FALSE
20,unbelievable,2019,8.4,85,FALSE,TRUE,FALSE,FALSE
21,good girls,2018,7.8,85,FALSE,TRUE,FALSE,FALSE
22,the promised neverland,2019,8.7,85,FALSE,TRUE,FALSE,FALSE
23,you,2018,7.7,85,FALSE,TRUE,FALSE,FALSE
24,narcos: mexico,2018,8.4,85,FALSE,TRUE,FALSE,FALSE
25,marvel's the punisher,2017,8.5,84,FALSE,TRUE,FALSE,FALSE
26,love death &amp; robots,2019,8.5,84,FALSE,TRUE,FALSE,FALSE
27,bodyguard,2018,8.1,84,FALSE,TRUE,FALSE,FALSE
28,unorthodox,2020,8.0,83,FALSE,TRUE,FALSE,FALSE
29,dead to me,2019,8.0,83,FALSE,TRUE,FALSE,FALSE
30,riverdale,2017,6.9,83,FALSE,TRUE,FALSE,FALSE
31,atypical,2017,8.3,83,FALSE,TRUE,FALSE,FALSE
32,altered carbon,2018,8.0,82,FALSE,TRUE,FALSE,FALSE
33,russian doll,2019,7.9,82,FALSE,TRUE,FALSE,FALSE
34,sacred games,2018,8.6,82,FALSE,TRUE,FALSE,FALSE
35,bridgerton,2020,7.3,82,FALSE,TRUE,FALSE,FALSE
36,godless,2017,8.3,82,FALSE,TRUE,FALSE,FALSE
37,ginny &amp; georgia,2021,7.4,82,FALSE,TRUE,FALSE,FALSE
38,after life,2019,8.4,82,FALSE,TRUE,FALSE,FALSE
39,big mouth,2017,8.0,82,FALSE,TRUE,FALSE,FALSE
40,the haunting of hill house,2018,8.6,82,FALSE,TRUE,FALSE,FALSE
41,the vietnam war,2017,9.1,82,FALSE,TRUE,FALSE,FALSE
42,our planet,2019,9.3,82,FALSE,TRUE,FALSE,FALSE
43,the oa,2016,7.9,81,FALSE,TRUE,FALSE,FALSE
44,derry girls,2018,8.4,81,FALSE,TRUE,FALSE,FALSE
45,anne with an e,2017,8.7,81,FALSE,TRUE,FALSE,FALSE
46,elite,2018,7.6,81,FALSE,TRUE,FALSE,FALSE
47,chilling adventures of sabrina,2018,7.5,81,FALSE,TRUE,FALSE,FALSE
48,kingdom,2019,8.4,81,FALSE,TRUE,FALSE,FALSE
49,lost in space,2018,7.3,81,FALSE,TRUE,FALSE,FALSE
50,manhunt,2017,8.1,81,FALSE,TRUE,FALSE,FALSE
51,a series of unfortunate events,2017,7.8,80,FALSE,TRUE,FALSE,FALSE
52,wynonna earp,2016,7.4,80,FALSE,TRUE,FALSE,FALSE
53,never have i ever,2020,7.9,80,TRUE,TRUE,FALSE,FALSE
54,alias grace,2017,7.8,80,TRUE,TRUE,FALSE,FALSE
55,castlevania,2017,8.2,80,FALSE,TRUE,FALSE,FALSE
56,marvel's luke cage,2016,7.3,79,FALSE,TRUE,FALSE,FALSE
57,glow,2017,8.0,79,TRUE,TRUE,FALSE,FALSE
