id,show_title,show_year,imdb_rating,reel_rating,prime,netflix,disney,hulu
1,stranger things,2016,8.7,96.0,False,True,False,False
2,dark,2017,8.8,93.0,False,True,False,False
3,the queen's gambit,2020,8.6,93.0,False,True,False,False
4,mindhunter,2017,8.6,91.0,True,True,False,False
5,the crown,2016,8.7,91.0,False,True,False,False
6,money heist,2017,8.3,90.0,True,True,False,False
7,ozark,2017,8.4,90.0,False,True,False,False
8,sex education,2019,8.3,90.0,True,True,False,False
9,cobra kai,2018,8.6,89.0,True,True,False,False
10,the witcher,2019,8.2,89.0,False,True,False,False
11,the good place,2016,8.2,88.0,False,True,False,False
12,the umbrella academy,2019,8.0,87.0,False,True,False,False
13,lucifer,2016,8.1,87.0,False,True,False,False
14,the sinner,2017,7.9,87.0,False,True,False,False
15,the last dance,2020,9.1,87.0,True,True,False,False
16,when they see us,2019,8.9,87.0,False,True,False,False
17,the end of the f***ing world,2017,8.1,86.0,False,True,False,False
18,american crime story,2016,8.4,86.0,False,True,False,False
19,demon slayer: kimetsu no yaiba,2019,8.7,86.0,False,True,False,False
20,unbelievable,2019,8.4,85.0,False,True,False,False
21,good girls,2018,7.8,85.0,False,True,False,False
22,the promised neverland,2019,8.7,85.0,False,True,False,False
23,you,2018,7.7,85.0,False,True,False,False
24,narcos: mexico,2018,8.4,85.0,False,True,False,False
25,marvel's the punisher,2017,8.5,84.0,False,True,False,False
26,love death &amp; robots,2019,8.5,84.0,False,True,False,False
27,bodyguard,2018,8.1,84.0,False,True,False,False
28,unorthodox,2020,8.0,83.0,False,True,False,False
29,dead to me,2019,8.0,83.0,False,True,False,False
30,riverdale,2017,6.9,83.0,False,True,False,False
31,atypical,2017,8.3,83.0,False,True,False,False
32,altered carbon,2018,8.0,82.0,False,True,False,False
33,russian doll,2019,7.9,82.0,False,True,False,False
34,sacred games,2018,8.6,82.0,False,True,False,False
35,bridgerton,2020,7.3,82.0,False,True,False,False
36,godless,2017,8.3,82.0,False,True,False,False
37,ginny &amp; georgia,2021,7.4,82.0,False,True,False,False
38,after life,2019,8.4,82.0,False,True,False,False
39,big mouth,2017,8.0,82.0,False,True,False,False
40,the haunting of hill house,2018,8.6,82.0,False,True,False,False
41,the vietnam war,2017,9.1,82.0,False,True,False,False
42,our planet,2019,9.3,82.0,False,True,False,False
43,the oa,2016,7.9,81.0,False,True,False,False
44,derry girls,2018,8.4,81.0,False,True,False,False
45,anne with an e,2017,8.7,81.0,False,True,False,False
46,elite,2018,7.6,81.0,False,True,False,False
47,chilling adventures of sabrina,2018,7.5,81.0,False,True,False,False
48,kingdom,2019,8.4,81.0,False,True,False,False
49,lost in space,2018,7.3,81.0,False,True,False,False
50,manhunt,2017,8.1,81.0,False,True,False,False
51,a series of unfortunate events,2017,7.8,80.0,False,True,False,False
52,wynonna earp,2016,7.4,80.0,False,True,False,False
53,never have i ever,2020,7.9,80.0,True,True,False,False
54,alias grace,2017,7.8,80.0,True,True,False,False
55,castlevania,2017,8.2,80.0,False,True,False,False
56,marvel's luke cage,2016,7.3,79.0,False,True,False,False
57,glow,2017,8.0,79.0,True,True,False,False
58,santa clarita diet,2017,7.8,79.0,False,True,False,False
59,tiger king: murder mayhem and madness,2020,7.6,79.0,False,True,False,False
60,dc's legends of tomorrow,2016,6.8,79.0,False,True,False,False
61,pose,2018,8.6,79.0,False,True,False,False
62,wild wild country,2018,8.2,79.0,False,True,False,False
63,maniac,2018,7.8,79.0,False,True,False,False
64,13 reasons why,2017,7.6,79.0,False,True,False,False
65,one day at a time,2017,8.2,78.0,False,True,False,False
66,behind her eyes,2021,7.2,78.0,False,True,False,False
67,designated survivor,2016,7.5,78.0,False,True,False,False
68,the dark crystal: age of resistance,2019,8.5,78.0,False,True,False,False
69,hollywood,2020,7.6,78.0,False,True,False,False
70,american vandal,2017,8.2,78.0,False,True,False,False
71,colony,2016,7.4,78.0,False,True,False,False
72,the shannara chronicles,2016,7.2,78.0,False,True,False,False
73,the kominsky method,2018,8.2,78.0,False,True,False,False
74,marvel's the defenders,2017,7.3,78.0,False,True,False,False
75,the dragon prince,2018,8.4,78.0,False,True,False,False
76,love,2016,7.7,77.0,False,True,False,False
77,locke &amp; key,2020,7.4,77.0,False,True,False,False
78,imposters,2017,7.8,77.0,False,True,False,False
79,the stranger,2020,7.3,77.0,False,True,False,False
80,i am not okay with this,2020,7.6,77.0,False,True,False,False
81,evil,2019,7.7,77.0,False,True,False,False
82,happy!,2017,8.2,77.0,False,True,False,False
83,queen of the south,2016,7.9,77.0,False,True,False,False
84,disenchantment,2018,7.2,77.0,True,True,False,False
85,travelers,2016,8.1,77.0,True,True,False,False
86,the spy,2019,7.9,77.0,False,True,False,False
