Index,Title,No,IMDb,Rotten_Tomatoes
0,game of thrones,30,,
1,veep,24,8.3,9.3
2,the marvelous mrs maisel,21,,
3,saturday night live,20,8.1,
4,handmaid's tale,20,,
5,better call saul,17,8.7,9.7
6,ozark,17,8.4,8.100000000000001
7,the crown,17,8.7,8.9
8,barry,15,,
9,fargo,14,8.9,9.6
10,westworld,14,,
11,this is us,14,8.7,9.200000000000001
12,the people v. o.j. simpson: american crime story,13,,
13,succession,13,,
14,atlanta,13,8.6,9.7
15,silicon valley,12,,
16,black-ish,12,7.1,9.1
17,killing eve,12,8.3,9.0
18,schitt’s creek,11,,
19,stranger things,11,8.8,9.3
20,when they see us,11,8.9,9.6
21,watchmen,11,,
22,the americans,11,8.4,9.6
23,house of cards,10,8.7,7.800000000000001
24,feud: bette and joan,10,,
25,big little lies,10,,
26,the good place,9,8.2,9.7
27,unbreakable kimmy schmidt,9,7.6,9.6
28,the assassination of gianni versace: american crime story,9,,
29,transparent,8,7.8,9.0
30,the night of,8,,
31,master of none,7,8.3,10.0
32,fosse/verdon,7,7.9,8.100000000000001
33,homeland,7,,
34,last week tonight with john oliver,7,,
35,escape at dannemora,7,8.0,8.9
36,chernobyl,6,,
37,godless,6,8.3,8.5
38,full frontal with samantha bee,6,,
39,the night manager,6,8.1,9.1
40,american crime,6,7.8,9.7
41,black mirror,6,8.8,8.299999999999999
42,the late show with stephen colbert,6,,
43,mrs. america,6,7.5,9.6
44,fleabag,6,8.7,10.0
45,jimmy kimmel live!,6,6.6,
46,the morning show,5,,
47,drunk history,5,7.8,
48,glow,5,8.0,9.3
49,top chef,5,7.5,
50,the kominsky method,5,8.2,9.0
51,the voice,5,6.5,
52,modern family,5,8.4,8.6
53,hollywood,4,7.7,5.699999999999999
54,the amazing race,4,7.6,
55,baskets,4,7.5,9.200000000000001
56,sherlock,4,9.1,7.800000000000001
57,jesus christ superstar live in concert,4,,
58,american horror story,4,8.0,
59,all the way,4,,
60,a very english scandal,4,7.7,9.5
61,american ninja warrior,4,6.8,
62,dead to me,4,8.1,9.1
63,russian doll,4,7.9,9.6
64,patrick melrose,4,8.1,9.0
65,the late late show with james corden,4,,
66,downton abbey,4,8.7,
67,what we do in the shadows,4,8.4,9.7
68,ray donovan,4,,
69,grace and frankie,4,8.3,8.9
70,unorthodox,4,8.1,9.399999999999999
71,rupauls drag race,4,,
72,insecure,4,,
73,unbelievable,3,8.4,9.7
74,mr. robot,3,8.5,9.399999999999999
75,ramy,3,8.0,9.7
76,the wizard of lies,3,,
77,sharp objects,3,,
78,curb your enthusiasm,3,8.7,9.200000000000001
79,project runway,3,7.3,
80,genius,3,8.4,7.0
81,how to get away with murder,3,8.1,8.8
82,little fires everywhere,3,7.7,7.7
83,mom,3,7.2,
84,shameless,3,8.6,8.5
86,normal people,3,8.8,8.299999999999999
87,portlandia,3,7.8,9.399999999999999
88,pose,3,8.6,9.6
89,the looming tower,3,8.0,8.8
90,the daily show with trevor noah,3,,
91,black monday,2,,
92,will & grace,2,7.2,
93,john mulaney special,2,,
94,amy schumer: live at the apollo,2,,
95,the big bang theory,2,,
96,bloodline,2,8.0,6.2
97,better things,2,7.7,9.7
98,bodyguard,2,8.1,9.3
99,tracy ullman show,2,,
100,inside amy schumer,2,6.0,8.6
101,confirmation,2,,
102,at home with amy sedaris,2,,
103,orphan black,2,8.3,9.3
104,the great,2,7.8,8.100000000000001
105,documentary now!,2,8.1,9.399999999999999
106,getting on,2,8.1,
107,nailed it!,2,7.4,9.8
108,twin peaks,2,8.8,8.9
109,key & peele,2,8.3,9.7
110,brooklyn nine-nine,2,8.4,9.7
111,genius: picasso,2,,
112,unreal,2,7.8,8.2
113,real time with bill maher,2,,
114,luther,2,8.5,8.8
115,steve martin & martin short: an evening you will forget for the rest of your life,2,,
116,the act,2,8.0,8.9
117,my dinner with hervé,1,,
118,the good wife,1,8.3,9.399999999999999
119,triumph’s election special 2016,1,,
120,michelle wolf: nice lady,1,,
121,a very murray christmas,1,,
