index,id,label,parents,values
0,channel-hbo,hbo,,189
1,channel-amazonstudios,amazon studios,,35
2,channel-nbc,nbc,,52
3,channel-hulu,hulu,,40
4,channel-netflix,netflix,,157
5,channel-fx,fx,,100
6,channel-abc,abc,,49
7,channel-bbc,bbc,,16
8,channel-poptv,pop tv,,11
9,channel-showtime,showtime,,31
10,channel-tbs,tbs,,6
11,channel-amc,amc,,6
12,channel-cbs,cbs,,29
13,channel-fleabag,fleabag,,6
14,channel-appletv,apple tv,,5
15,channel-comedycentral,comedy central,,12
16,channel-bravo,bravo,,5
17,channel-pbs,pbs,,8
18,channel-vh1,vh1,,4
19,channel-usa,usa,,4
20,channel-lifetime,lifetime,,5
21,channel-nationalgeographic,national geographic,,3
22,channel-ifc,ifc,,6
23,channel-fox,fox,,6
24,channel-trutv,trutv,,3
25,channel-paramountnetwork,paramount network,,1
26,channel-tnt,tnt,,1
27,channel-disney+,disney+,,1
28,channel-a&e,a&e,,1
29,channel-cinemax,cinemax,,1
30,hbo-gameofthrones,game of thrones,channel-hbo,30
31,hbo-veep,veep,channel-hbo,24
32,amazonstudios-themarvelousmrsmaisel,the marvelous mrs maisel,channel-amazon studios,21
33,nbc-saturdaynightlive,saturday night live,channel-nbc,20
34,hulu-handmaidstale,handmaids tale,channel-hulu,20
35,netflix-bettercallsaul,better call saul,channel-netflix,17
36,netflix-ozark,ozark,channel-netflix,17
37,netflix-thecrown,the crown,channel-netflix,17
38,hbo-barry,barry,channel-hbo,15
39,fx-fargo,fargo,channel-fx,14
40,hbo-westworld,westworld,channel-hbo,14
41,abc-thisisus,this is us,channel-abc,14
42,fx-thepeoplev.o.j.simpson:americancrimestory,the people v. o.j. simpson: american crime story,channel-fx,13
43,hbo-succession,succession,channel-hbo,13
44,fx-atlanta,atlanta,channel-fx,13
45,hbo-siliconvalley,silicon valley,channel-hbo,12
46,abc-black-ish,black-ish,channel-abc,12
47,bbc-killingeve,killing eve,channel-bbc,12
48,poptv-schitt’screek,schitt’s creek,channel-pop tv,11
49,netflix-strangerthings,stranger things,channel-netflix,11
50,netflix-whentheyseeus,when they see us,channel-netflix,11
51,hbo-watchmen,watchmen,channel-hbo,11
52,fx-theamericans,the americans,channel-fx,11
53,netflix-houseofcards,house of cards,channel-netflix,10
54,fx-feud:betteandjoan,feud: bette and joan,channel-fx,10
55,hbo-biglittlelies,big little lies,channel-hbo,10
56,nbc-thegoodplace,the good place,channel-nbc,9
57,netflix-unbreakablekimmyschmidt,unbreakable kimmy schmidt,channel-netflix,9
58,fx-theassassinationofgianniversace:american...,the assassination of gianni versace: american ...,channel-fx,9
59,amazonstudios-transparent,transparent,channel-amazon studios,8
60,hbo-thenightof,the night of,channel-hbo,8
61,netflix-masterofnone,master of none,channel-netflix,7
62,fx-fosse/verdon,fosse/verdon,channel-fx,7
63,showtime-homeland,homeland,channel-showtime,7
64,hbo-lastweektonightwithjohnoliver,last week tonight with john oliver,channel-hbo,7
65,showtime-escapeatdannemora,escape at dannemora,channel-showtime,7
66,hbo-chernobyl,chernobyl,channel-hbo,6
67,netflix-godless,godless,channel-netflix,6
68,tbs-fullfrontalwithsamanthabee,full frontal with samantha bee,channel-tbs,6
69,amc-thenightmanager,the night manager,channel-amc,6
70,abc-americancrime,american crime,channel-abc,6
71,netflix-blackmirror,black mirror,channel-netflix,6
72,cbs-thelateshowwithstephencolbert,the late show with stephen colbert,channel-cbs,6
73,fx-mrs.america,mrs. america,channel-fx,6
74,fleabag-fleabag,fleabag,channel-fleabag,6
75,abc-jimmykimmellive!,jimmy kimmel live!,channel-abc,6
76,appletv-themorningshow,the morning show,channel-apple tv,5
77,comedycentral-drunkhistory,drunk history,channel-comedy central,5
78,netflix-glow,glow,channel-netflix,5
79,bravo-topchef,top chef,channel-bravo,5
80,netflix-thekominskymethod,the kominsky method,channel-netflix,5
81,nbc-thevoice,the voice,channel-nbc,5
82,abc-modernfamily,modern family,channel-abc,5
83,netflix-hollywood,hollywood,channel-netflix,4
84,cbs-theamazingrace,the amazing race,channel-cbs,4
85,fx-baskets,baskets,channel-fx,4
86,pbs-sherlock,sherlock,channel-pbs,4
87,nbc-jesuschristsuperstarliveinconcert,jesus christ superstar live in concert,channel-nbc,4
88,fx-americanhorrorstory,american horror story,channel-fx,4
89,hbo-alltheway,all the way,channel-hbo,4
90,amazonstudios-averyenglishscandal,a very english scandal,channel-amazon studios,4
91,nbc-americanninjawarrior,american ninja warrior,channel-nbc,4
92,cbs-deadtome,dead to me,channel-cbs,4
93,netflix-russiandoll,russian doll,channel-netflix,4
94,showtime-patrickmelrose,patrick melrose,channel-showtime,4
95,cbs-thelatelateshowwithjamescorden,the late late show with james corden,channel-cbs,4
96,pbs-downtonabbey,downton abbey,channel-pbs,4
97,fx-whatwedointheshadows,what we do in the shadows,channel-fx,4
98,showtime-raydonovan,ray donovan,channel-showtime,4
99,netflix-graceandfrankie,grace and frankie,channel-netflix,4
100,netflix-unorthodox,unorthodox,channel-netflix,4
101,vh1-rupaulsdragrace,rupauls drag race,channel-vh1,4
102,hbo-insecure,insecure,channel-hbo,4
103,cbs-unbelievable,unbelievable,channel-cbs,3
104,usa-mr.robot,mr. robot,channel-usa,3
105,hulu-ramy,ramy,channel-hulu,3
106,hbo-thewizardoflies,the wizard of lies,channel-hbo,3
107,hbo-sharpobjects,sharp objects,channel-hbo,3
108,hbo-curbyourenthusiasm,curb your enthusiasm,channel-hbo,3
109,lifetime-projectrunway,project runway,channel-lifetime,3
110,nationalgeographic-genius,genius,channel-national geographic,3
