Index,Title,No,IMDb,Rotten_Tomatoes
0,game of thrones,30,,
1,veep,24,8.3,9.3
2,the marvelous mrs maisel,21,,
3,saturday night live,20,8.1,
4,handmaid's tale,20,,
5,better call saul,17,8.7,9.7
6,the crown,17,8.7,8.9
7,ozark,17,8.4,8.100000000000001
8,barry,15,,
9,this is us,14,8.7,9.200000000000001
10,fargo,14,8.9,9.6
11,westworld,14,,
12,the people v. o.j. simpson: american crime story,13,,
13,atlanta,13,8.6,9.7
14,succession,13,,
15,black-ish,12,7.1,9.1
16,killing eve,12,8.3,9.0
17,silicon valley,12,,
18,watchmen,11,,
19,schitt’s creek,11,,
20,when they see us,11,8.9,9.6
21,the americans,11,8.4,9.6
22,stranger things,11,8.8,9.3
23,house of cards,10,8.7,7.800000000000001
24,big little lies,10,,
25,feud: bette and joan,10,,
26,the good place,9,8.2,9.7
27,the assassination of gianni versace: american crime story,9,,
28,unbreakable kimmy schmidt,9,7.6,9.6
29,transparent,8,7.8,9.0
30,the night of,8,,
31,escape at dannemora,7,8.0,8.9
32,homeland,7,,
33,master of none,7,8.3,10.0
34,fosse/verdon,7,7.9,8.100000000000001
35,last week tonight with john oliver,7,,
36,the late show with stephen colbert,6,,
37,black mirror,6,8.8,8.299999999999999
38,american crime,6,7.8,9.7
39,fleabag,6,8.7,10.0
40,godless,6,8.3,8.5
41,jimmy kimmel live!,6,6.6,
42,the night manager,6,8.1,9.1
43,mrs. america,6,7.5,9.6
44,chernobyl,6,,
45,full frontal with samantha bee,6,,
46,top chef,5,7.5,
47,drunk history,5,7.8,
48,modern family,5,8.4,8.6
49,glow,5,8.0,9.3
50,the morning show,5,,
51,the voice,5,6.5,
52,the kominsky method,5,8.2,9.0
53,grace and frankie,4,8.3,8.9
54,ray donovan,4,,
55,downton abbey,4,8.7,
56,american ninja warrior,4,6.8,
57,russian doll,4,7.9,9.6
58,insecure,4,,
59,rupauls drag race,4,,
60,american horror story,4,8.0,
61,hollywood,4,7.7,5.699999999999999
62,dead to me,4,8.1,9.1
63,jesus christ superstar live in concert,4,,
64,patrick melrose,4,8.1,9.0
65,unorthodox,4,8.1,9.399999999999999
66,sherlock,4,9.1,7.800000000000001
67,all the way,4,,
68,a very english scandal,4,7.7,9.5
69,the late late show with james corden,4,,
70,the amazing race,4,7.6,
71,baskets,4,7.5,9.200000000000001
72,what we do in the shadows,4,8.4,9.7
73,the looming tower,3,8.0,8.8
74,portlandia,3,7.8,9.399999999999999
75,project runway,3,7.3,
76,ramy,3,8.0,9.7
77,curb your enthusiasm,3,8.7,9.200000000000001
78,mom,3,7.2,
79,genius,3,8.4,7.0
80,shameless,3,8.6,8.5
81,shameless,3,8.0,
82,the wizard of lies,3,,
83,little fires everywhere,3,7.7,7.7
84,mr. robot,3,8.5,9.399999999999999
86,the daily show with trevor noah,3,,
87,how to get away with murder,3,8.1,8.8
88,sharp objects,3,,
89,pose,3,8.6,9.6
90,normal people,3,8.8,8.299999999999999
91,the act,2,8.0,8.9
92,real time with bill maher,2,,
93,the big bang theory,2,,
94,key & peele,2,8.3,9.7
95,inside amy schumer,2,6.0,8.6
96,brooklyn nine-nine,2,8.4,9.7
97,steve martin & martin short: an evening you will forget for the rest of your life,2,,
98,nailed it!,2,7.4,9.8
99,twin peaks,2,8.8,8.9
100,getting on,2,8.1,
101,black monday,2,,
102,john mulaney special,2,,
103,tracy ullman show,2,,
104,amy schumer: live at the apollo,2,,
105,unreal,2,7.8,8.2
106,genius: picasso,2,,
107,the great,2,7.8,8.100000000000001
108,orphan black,2,8.3,9.3
109,at home with amy sedaris,2,,
110,better things,2,7.7,9.7
111,documentary now!,2,8.1,9.399999999999999
112,bodyguard,2,8.1,9.3
113,will & grace,2,7.2,
114,bloodline,2,8.0,6.2
115,luther,2,8.5,8.8
116,confirmation,2,,
117,empire,1,7.4,8.4
118,love you america,1,,
119,billy on the street,1,7.7,
120,lady day at emerson’s bar and grill,1,,
121,the immortal life of henrietta lacks,1,,
