,Title,Awards,Year,is_winner,Channel
0,the americans,Drama Series,2016,False,FX
1,better call saul,Drama Series,2016,False,Netflix
2,downton abbey,Drama Series,2016,False,PBS
3,game of thrones,Drama Series,2016,True,HBO
4,homeland,Drama Series,2016,False,Showtime
5,house of cards,Drama Series,2016,False,Netflix
6,mr. robot,Drama Series,2016,False,USA
7,black-ish,Comedy Series,2016,False,ABC
8,master of none,Comedy Series,2016,False,Netflix
9,modern family,Comedy Series,2016,False,ABC
10,silicon valley,Comedy Series,2016,False,HBO
11,transparent,Comedy Series,2016,False,Amazon Studios
12,unbreakable kimmy schmidt,Comedy Series,2016,False,Netflix
13,veep,Comedy Series,2016,True,HBO
14,homeland,"Lead Actress, Drama",2016,False,Showtime
15,how to get away with murder,"Lead Actress, Drama",2016,False,ABC
16,empire,"Lead Actress, Drama",2016,False,Fox
17,orphan black,"Lead Actress, Drama",2016,False,BBC
18,the americans,"Lead Actress, Drama",2016,False,FX
19,house of cards,"Lead Actress, Drama",2016,False,Netflix
20,bloodline,"Lead Actor, Drama",2016,False,Netflix
21,mr. robot,"Lead Actor, Drama",2016,False,USA
22,better call saul,"Lead Actor, Drama",2016,False,Netflix
23,the americans,"Lead Actor, Drama",2016,False,FX
24,ray donovan,"Lead Actor, Drama",2016,False,Showtime
25,house of cards,"Lead Actor, Drama",2016,False,Netflix
26,better call saul,"Supporting Actor, Drama",2016,False,Netflix
27,game of thrones,"Supporting Actor, Drama",2016,False,HBO
28,house of cards,"Supporting Actor, Drama",2016,False,Netflix
29,bloodline,"Supporting Actor, Drama",2016,False,Netflix
30,game of thrones,"Supporting Actor, Drama",2016,False,HBO
31,ray donovan,"Supporting Actor, Drama",2016,False,Showtime
32,downton abbey,Directing for a Drama,2016,False,PBS
34,game of thrones,Directing for a Drama,2016,False,HBO
36,game of thrones,Directing for a Drama,2016,False,HBO
38,homeland,Directing for a Drama,2016,False,Showtime
40,the knick,Directing for a Drama,2016,False,Cinemax
42,ray donovan,Directing for a Drama,2016,False,Showtime
43,game of thrones,"Supporting Actress, Drama",2016,False,HBO
44,game of thrones,"Supporting Actress, Drama",2016,False,HBO
45,downton abbey,"Supporting Actress, Drama",2016,False,PBS
46,the affair,"Supporting Actress, Drama",2016,False,Showtime
47,game of thrones,"Supporting Actress, Drama",2016,False,HBO
48,unreal,"Supporting Actress, Drama",2016,False,Lifetime
49,the americans,Writing for a Drama Series,2016,False,FX
50,downton abbey,Writing for a Drama Series,2016,False,PBS
51,game of thrones,Writing for a Drama Series,2016,False,HBO
52,the good wife,Writing for a Drama Series,2016,False,CBS
53,mr. robot,Writing for a Drama Series,2016,False,USA
54,unreal,Writing for a Drama Series,2016,False,Lifetime
55,documentary now,Variety Sketch Series,2016,False,IFC
56,drunk history,Variety Sketch Series,2016,False,Comedy Central
