,Nominees,Awards,Year,is_winner
0,Better Call Saul,Drama Series,2019,False
1,Bodyguard,Drama Series,2019,False
2,Game of Thrones,Drama Series,2019,True
3,Killing Eve,Drama Series,2019,False
4,Ozark,Drama Series,2019,False
5,Pose,Drama Series,2019,True
6,Succession,Drama Series,2019,False
7,This Is Us,Drama Series,2019,False
8,Ozark,"Lead Actor, Drama",2019,False
9,This Is Us,"Lead Actor, Drama",2019,False
10,Game of Thrones,"Lead Actor, Drama",2019,False
11,Better Call Saul,"Lead Actor, Drama",2019,False
12,Pose,"Lead Actor, Drama",2019,False
13,This Is Us,"Lead Actor, Drama",2019,False
14,Game of Thrones,"Lead Actress, Drama",2019,False
15,Killing Eve,"Lead Actress, Drama",2019,True
16,How to Get Away With Murder,"Lead Actress, Drama",2019,False
17,Ozark,"Lead Actress, Drama",2019,False
18,This Is Us,"Lead Actress, Drama",2019,False
19,Killing Eve,"Lead Actress, Drama",2019,False
20,House of Cards,"Lead Actress, Drama",2019,False
21,Game of Thrones,"Supporting Actor, Drama",2019,False
22,Better Call Saul,"Supporting Actor, Drama",2019,False
23,Game of Thrones,"Supporting Actor, Drama",2019,False
24,Game of Thrones,"Supporting Actor, Drama",2019,True
25,Better Call Saul,"Supporting Actor, Drama",2019,False
26,House of Cards,"Supporting Actor, Drama",2019,False
27,This Is Us,"Supporting Actor, Drama",2019,False
28,Game of Thrones,"Supporting Actress, Drama",2019,False
29,Ozark,"Supporting Actress, Drama",2019,True
30,Game of Thrones,"Supporting Actress, Drama",2019,False
31,Killing Eve,"Supporting Actress, Drama",2019,False
32,Game of Thrones,"Supporting Actress, Drama",2019,False
33,Game of Thrones,"Supporting Actress, Drama",2019,False
34,Game of Thrones,Directing for a Drama,2019,False
35,Game of Thrones,Directing for a Drama,2019,False
36,Game of Thrones,Directing for a Drama,2019,False
37,Killing Eve,Directing for a Drama,2019,False
38,Ozark,Directing for a Drama,2019,True
39,Succession,Directing for a Drama,2019,False
40,The Handmaid's Tale,Directing for a Drama,2019,False
41,Better Call Saul,Writing for a Drama Series,2019,False
42,Bodyguard,Writing for a Drama Series,2019,False
43,Game of Thrones,Writing for a Drama Series,2019,False
44,Killing Eve,Writing for a Drama Series,2019,False
45,Succession,Writing for a Drama Series,2019,True
46,The Handmaid’s Tale,Writing for a Drama Series,2019,False
47,Barry,Comedy Series,2019,False
48,Fleabag,Comedy Series,2019,True
49,The Good Place,Comedy Series,2019,False
50,The Marvelous Mrs. Maisel,Comedy Series,2019,False
51,Russian Doll,Comedy Series,2019,False
52,Schitt’s Creek,Comedy Series,2019,False
53,Veep,Comedy Series,2019,False
54,Black-ish,"Lead Actor, Comedy",2019,False
55,Black Monday,"Lead Actor, Comedy",2019,False
56,The Good Place,"Lead Actor, Comedy",2019,False
57,The Kominsky Method,"Lead Actor, Comedy",2019,False
58,Barry,"Lead Actor, Comedy",2019,True
59,Schitt’s Creek,"Lead Actor, Comedy",2019,False
60,Dead to Me,"Lead Actress, Comedy",2019,False
61,The Marvelous Mrs. Maisel,"Lead Actress, Comedy",2019,False
62,Veep,"Lead Actress, Comedy",2019,False
63,Russian Doll,"Lead Actress, Comedy",2019,False
64,Schitt’s Creek,"Lead Actress, Comedy",2019,False
65,Fleabag,"Lead Actress, Comedy",2019,True
66,The Kominsky Method,"Supporting Actor, Comedy",2019,False
67,Barry,"Supporting Actor, Comedy",2019,False
68,Veep,"Supporting Actor, Comedy",2019,False
69,Barry,"Supporting Actor, Comedy",2019,False
70,The Marvelous Mrs. Maisel,"Supporting Actor, Comedy",2019,True
71,Barry,"Supporting Actor, Comedy",2019,False
72,The Marvelous Mrs. Maisel,"Supporting Actress, Comedy",2019,False
73,Veep,"Supporting Actress, Comedy",2019,False
74,Fleabag,"Supporting Actress, Comedy",2019,False
75,Fleabag,"Supporting Actress, Comedy",2019,False
76,Glow,"Supporting Actress, Comedy",2019,False
77,Barry,"Supporting Actress, Comedy",2019,False
78,The Marvelous Mrs. Maisel,"Supporting Actress, Comedy",2019,True
79,Saturday Night Live,"Supporting Actress, Comedy",2019,False
80,Barry,Writing for a Comedy Series,2019,False
81,Fleabag,Writing for a Comedy Series,2019,True
82,Pen15,Writing for a Comedy Series,2019,False
83,Russian Doll,Writing for a Comedy Series,2019,False
84,Russian Doll,Writing for a Comedy Series,2019,False
85,The Good Place,Writing for a Comedy Series,2019,False
86,Barry,Directing for a Comedy,2019,False
