Index,Title,Channel
0,game of thrones,HBO
1,veep,HBO
2,the marvelous mrs maisel,Amazon Studios
3,saturday night live,NBC
4,handmaid's tale,Hulu
5,better call saul,Netflix
6,ozark,Netflix
7,the crown,Netflix
8,barry,HBO
9,fargo,FX
10,westworld,HBO
11,this is us,ABC
12,the people v. o.j. simpson: american crime story,FX
13,succession,HBO
14,atlanta,FX
15,silicon valley,HBO
16,black-ish,ABC
17,killing eve,BBC
18,schitt’s creek,Pop TV
19,stranger things,Netflix
20,when they see us,Netflix
21,watchmen,HBO
22,the americans,FX
23,house of cards,Netflix
24,feud: bette and joan,FX
25,big little lies,HBO
26,the good place,NBC
27,unbreakable kimmy schmidt,Netflix
28,the assassination of gianni versace: american ...,FX
29,transparent,Amazon Studios
30,the night of,HBO
31,master of none,Netflix
32,fosse/verdon,FX
33,homeland,Showtime
34,last week tonight with john oliver,HBO
35,escape at dannemora,Showtime
36,chernobyl,HBO
37,godless,Netflix
38,full frontal with samantha bee,TBS
39,the night manager,AMC
40,american crime,ABC
41,black mirror,Netflix
42,the late show with stephen colbert,CBS
43,mrs. america,FX
44,fleabag,Fleabag
45,jimmy kimmel live!,ABC
46,the morning show,Apple TV
47,drunk history,Comedy Central
48,glow,Netflix
49,top chef,Bravo
50,the kominsky method,Netflix
51,the voice,NBC
52,modern family,ABC
53,hollywood,Netflix
54,the amazing race,CBS
55,baskets,FX
56,sherlock,PBS
57,jesus christ superstar live in concert,NBC
58,american horror story,FX
59,all the way,HBO
60,a very english scandal,Amazon Studios
61,american ninja warrior,NBC
62,dead to me,CBS
63,russian doll,Netflix
64,patrick melrose,Showtime
65,the late late show with james corden,CBS
66,downton abbey,PBS
67,what we do in the shadows,FX
68,ray donovan,Showtime
69,grace and frankie,Netflix
70,unorthodox,Netflix
71,rupauls drag race,VH1
72,insecure,HBO
73,unbelievable,CBS
74,mr. robot,USA
75,ramy,Hulu
76,the wizard of lies,HBO
77,sharp objects,HBO
78,curb your enthusiasm,HBO
79,project runway,Lifetime
80,genius,National Geographic
81,how to get away with murder,ABC
82,little fires everywhere,Hulu
83,mom,CBS
84,shameless,Showtime
86,normal people,Hulu
87,portlandia,IFC
88,pose,FX
89,the looming tower,Hulu
90,the daily show with trevor noah,Comedy Central
91,black monday,Showtime
92,will & grace,NBC
93,john mulaney special,Netflix
94,amy schumer: live at the apollo,HBO
95,the big bang theory,CBS
96,bloodline,Netflix
97,better things,FX
98,bodyguard,Netflix
99,tracy ullman show,Fox
100,inside amy schumer,Comedy Central
101,confirmation,HBO
102,at home with amy sedaris,truTV
103,orphan black,BBC
104,the great,Hulu
105,documentary now!,IFC
106,getting on,HBO
107,nailed it!,Netflix
108,twin peaks,Showtime
109,key & peele,Comedy Central
110,brooklyn nine-nine,NBC
112,unreal,Lifetime
113,real time with bill maher,HBO
114,luther,BBC
115,steve martin & martin short: an evening you wi...,Netflix
116,the act,Hulu
117,my dinner with hervé,HBO
118,the good wife,CBS
119,triumph’s election special 2016,Hulu
120,michelle wolf: nice lady,HBO
121,a very murray christmas,Netflix
122,the tale,HBO
123,seven seconds,Netflix
124,american vandal,Netflix
125,the masked singer,Fox
126,i know this much is true,HBO
127,dave chappelle: equanimity,Netflix
128,dancing with the stars,ABC
129,self made,Netflix
130,waco,Paramount Network
131,king lear,Amazon Studios
132,grease: live!,Fox
133,law & order true crime: the menendez murders,NBC
134,the affair,Showtime
135,the oscars,ABC
136,deadwood: the movie,HBO
137,the kennedy center honors,CBS
138,euphoria,HBO
139,super bowl lii halftime show starring justin t...,NBC
140,the alienist,TNT
141,the last man on earth,Fox
142,who is america?,Showtime
143,love you america,Hulu
144,Roseanne,ABC
145,lemonade,HBO
146,orange is the new black,Netflix
147,tig notaro: boyish girl interrupted,HBO
148,patton oswalt: talking for clapping,Netflix
149,the immortal life of henrietta lacks,HBO
150,the tonight show starring jimmy fallon,NBC
151,late night with seth meyers,NBC
152,paterno,HBO
153,dolly parton’s christmas of many colors,NBC
154,adele live in new york city,NBC
155,catastrophe,Amazon Studios
156,the mandalorian,Disney+
157,the sinner,USA
158,documentary now,IFC
159,empire,Fox
160,brexit,HBO
161,roots,A&E
162,comedians in cars getting coffee,Netflix
163,true detective,HBO
164,58th grammy awards,CBS
165,lady day at emerson’s bar and grill,HBO
166,patton oswalt: annihilation,Netflix
167,billy on the street,truTV
168,i love you america with sarah silverman,Hulu
169,bad education,HBO
170,pen15,Hulu
171,the knick,Cinemax
172,jerry seinfeld: jerry before seinfeld,Netflix
