show title,show year,imdb rating,real rating,prime,netflix,disney,hulu,id
Stranger Things,2016,8.7,96,FALSE,TRUE,FALSE,FALSE,1
Dark,2017,8.8,93,FALSE,TRUE,FALSE,FALSE,2
The Queen's Gambit,2020,8.6,93,FALSE,TRUE,FALSE,FALSE,3
Mindhunter,2017,8.6,91,TRUE,TRUE,FALSE,FALSE,4
The Crown,2016,8.7,91,FALSE,TRUE,FALSE,FALSE,5
Money Heist,2017,8.3,90,TRUE,TRUE,FALSE,FALSE,6
Ozark,2017,8.4,90,FALSE,TRUE,FALSE,FALSE,7
Sex Education,2019,8.3,90,TRUE,TRUE,FALSE,FALSE,8
Cobra Kai,2018,8.6,89,TRUE,TRUE,FALSE,FALSE,9
The Witcher,2019,8.2,89,FALSE,TRUE,FALSE,FALSE,10
The Good Place,2016,8.2,88,FALSE,TRUE,FALSE,FALSE,11
The Umbrella Academy,2019,8,87,FALSE,TRUE,FALSE,FALSE,12
Lucifer,2016,8.1,87,FALSE,TRUE,FALSE,FALSE,13
The Sinner,2017,7.9,87,FALSE,TRUE,FALSE,FALSE,14
The Last Dance,2020,9.1,87,TRUE,TRUE,FALSE,FALSE,15
When They See Us,2019,8.9,87,FALSE,TRUE,FALSE,FALSE,16
The End of the F***ing World,2017,8.1,86,FALSE,TRUE,FALSE,FALSE,17
American Crime Story,2016,8.4,86,FALSE,TRUE,FALSE,FALSE,18
Demon Slayer: Kimetsu no Yaiba,2019,8.7,86,FALSE,TRUE,FALSE,FALSE,19
Unbelievable,2019,8.4,85,FALSE,TRUE,FALSE,FALSE,20
Good Girls,2018,7.8,85,FALSE,TRUE,FALSE,FALSE,21
The Promised Neverland,2019,8.7,85,FALSE,TRUE,FALSE,FALSE,22
YOU,2018,7.7,85,FALSE,TRUE,FALSE,FALSE,23
Narcos: Mexico,2018,8.4,85,FALSE,TRUE,FALSE,FALSE,24
Marvel's The Punisher,2017,8.5,84,FALSE,TRUE,FALSE,FALSE,25
"Love, Death &amp; Robots",2019,8.5,84,FALSE,TRUE,FALSE,FALSE,26
Bodyguard,2018,8.1,84,FALSE,TRUE,FALSE,FALSE,27
Unorthodox,2020,8,83,FALSE,TRUE,FALSE,FALSE,28
Dead to Me,2019,8,83,FALSE,TRUE,FALSE,FALSE,29
Riverdale,2017,6.9,83,FALSE,TRUE,FALSE,FALSE,30
Atypical,2017,8.3,83,FALSE,TRUE,FALSE,FALSE,31
Altered Carbon,2018,8,82,FALSE,TRUE,FALSE,FALSE,32
Russian Doll,2019,7.9,82,FALSE,TRUE,FALSE,FALSE,33
Sacred Games,2018,8.6,82,FALSE,TRUE,FALSE,FALSE,34
Bridgerton,2020,7.3,82,FALSE,TRUE,FALSE,FALSE,35
Godless,2017,8.3,82,FALSE,TRUE,FALSE,FALSE,36
Ginny &amp; Georgia,2021,7.4,82,FALSE,TRUE,FALSE,FALSE,37
After Life,2019,8.4,82,FALSE,TRUE,FALSE,FALSE,38
Big Mouth,2017,8,82,FALSE,TRUE,FALSE,FALSE,39
The Haunting of Hill House,2018,8.6,82,FALSE,TRUE,FALSE,FALSE,40
The Vietnam War,2017,9.1,82,FALSE,TRUE,FALSE,FALSE,41
Our Planet,2019,9.3,82,FALSE,TRUE,FALSE,FALSE,42
The OA,2016,7.9,81,FALSE,TRUE,FALSE,FALSE,43
Derry Girls,2018,8.4,81,FALSE,TRUE,FALSE,FALSE,44
Anne with an E,2017,8.7,81,FALSE,TRUE,FALSE,FALSE,45
Elite,2018,7.6,81,FALSE,TRUE,FALSE,FALSE,46
Chilling Adventures of Sabrina,2018,7.5,81,FALSE,TRUE,FALSE,FALSE,47
Kingdom,2019,8.4,81,FALSE,TRUE,FALSE,FALSE,48
Lost in Space,2018,7.3,81,FALSE,TRUE,FALSE,FALSE,49
Manhunt,2017,8.1,81,FALSE,TRUE,FALSE,FALSE,50
A Series of Unfortunate Events,2017,7.8,80,FALSE,TRUE,FALSE,FALSE,51
Wynonna Earp,2016,7.4,80,FALSE,TRUE,FALSE,FALSE,52
Never Have I Ever,2020,7.9,80,TRUE,TRUE,FALSE,FALSE,53
Alias Grace,2017,7.8,80,TRUE,TRUE,FALSE,FALSE,54
Castlevania,2017,8.2,80,FALSE,TRUE,FALSE,FALSE,55
Marvel's Luke Cage,2016,7.3,79,FALSE,TRUE,FALSE,FALSE,56
GLOW,2017,8,79,TRUE,TRUE,FALSE,FALSE,57
Santa Clarita Diet,2017,7.8,79,FALSE,TRUE,FALSE,FALSE,58
"Tiger King: Murder, Mayhem and Madness",2020,7.6,79,FALSE,TRUE,FALSE,FALSE,59
DC's Legends of Tomorrow,2016,6.8,79,FALSE,TRUE,FALSE,FALSE,60
Pose,2018,8.6,79,FALSE,TRUE,FALSE,FALSE,61
Wild Wild Country,2018,8.2,79,FALSE,TRUE,FALSE,FALSE,62
Maniac,2018,7.8,79,FALSE,TRUE,FALSE,FALSE,63
13 Reasons Why,2017,7.6,79,FALSE,TRUE,FALSE,FALSE,64
One Day at a Time,2017,8.2,78,FALSE,TRUE,FALSE,FALSE,65
Behind Her Eyes,2021,7.2,78,FALSE,TRUE,FALSE,FALSE,66
Designated Survivor,2016,7.5,78,FALSE,TRUE,FALSE,FALSE,67
The Dark Crystal: Age of Resistance,2019,8.5,78,FALSE,TRUE,FALSE,FALSE,68
Hollywood,2020,7.6,78,FALSE,TRUE,FALSE,FALSE,69
American Vandal,2017,8.2,78,FALSE,TRUE,FALSE,FALSE,70
Colony,2016,7.4,78,FALSE,TRUE,FALSE,FALSE,71
The Shannara Chronicles,2016,7.2,78,FALSE,TRUE,FALSE,FALSE,72
The Kominsky Method,2018,8.2,78,FALSE,TRUE,FALSE,FALSE,73
Marvel's The Defenders,2017,7.3,78,FALSE,TRUE,FALSE,FALSE,74
The Dragon Prince,2018,8.4,78,FALSE,TRUE,FALSE,FALSE,75
Love,2016,7.7,77,FALSE,TRUE,FALSE,FALSE,76
Locke &amp; Key,2020,7.4,77,FALSE,TRUE,FALSE,FALSE,77
Imposters,2017,7.8,77,FALSE,TRUE,FALSE,FALSE,78
The Stranger,2020,7.3,77,FALSE,TRUE,FALSE,FALSE,79
I Am Not Okay with This,2020,7.6,77,FALSE,TRUE,FALSE,FALSE,80
Evil,2019,7.7,77,FALSE,TRUE,FALSE,FALSE,81
HAPPY!,2017,8.2,77,FALSE,TRUE,FALSE,FALSE,82
Queen of the South,2016,7.9,77,FALSE,TRUE,FALSE,FALSE,83
Disenchantment,2018,7.2,77,TRUE,TRUE,FALSE,FALSE,84
Travelers,2016,8.1,77,TRUE,TRUE,FALSE,FALSE,85
The Spy,2019,7.9,77,FALSE,TRUE,FALSE,FALSE,86
Don't F**k with Cats: Hunting an Internet Killer,2019,8,76,FALSE,TRUE,FALSE,FALSE,87
The Midnight Gospel,2020,8.3,76,FALSE,TRUE,FALSE,FALSE,88
Lupin,2021,7.6,76,FALSE,TRUE,FALSE,FALSE,89
Dirty Money,2018,8.1,76,FALSE,TRUE,FALSE,FALSE,90
On My Block,2018,8,76,FALSE,TRUE,FALSE,FALSE,91
Outer Banks,2020,7.6,75,FALSE,TRUE,FALSE,FALSE,92
The Order,2019,6.8,75,FALSE,TRUE,FALSE,FALSE,93
Bonding,2019,7.2,75,FALSE,TRUE,FALSE,FALSE,94
